"Tabela 137 - População residente, por religião"
"Variável - População residente (Pessoas)"
"Município","Ano x Religião"
"Município","2000"
"Município","Total","Católica Apostólica Romana","Evangélicas","Outras religiosidades cristãs","Testemunhas de Jeová","Espírita","Umbanda e Candomblé","Judaica","Judaísmo","Budismo","Islâmica","Islamismo","Sem religião","Não determinada e multiplo pertencimento"
"Quatipuru (PA)","10905","8929","1154","...","-","-","...","-","...","-","-","...","821","..."
"Redenção (PA)","63251","41300","13137","...","81","270","...","-","...","-","-","...","6101","..."
"Rio Maria (PA)","17498","11403","3968","...","68","16","...","-","...","-","-","...","1904","..."
"Rondon do Pará (PA)","39870","27692","8176","...","181","9","...","-","...","-","-","...","3556","..."
"Rurópolis (PA)","24660","16798","5852","...","83","-","...","-","...","-","-","...","1402","..."
"Salinópolis (PA)","33449","27974","4345","...","55","66","...","-","...","-","-","...","818","..."
"Salvaterra (PA)","15118","12450","2153","...","93","32","...","-","...","-","-","...","362","..."
"Santa Bárbara do Pará (PA)","11378","8723","2237","...","21","-","...","7","...","-","-","...","296","..."
"Santa Cruz do Arari (PA)","5621","4513","801","...","-","-","...","-","...","-","-","...","299","..."
"Santa Izabel do Pará (PA)","43227","30530","8241","...","18","43","...","-","...","67","-","...","3166","..."
"Santa Luzia do Pará (PA)","19400","17714","1266","...","-","-","...","-","...","10","-","...","363","..."
"Santa Maria das Barreiras (PA)","10955","9018","1471","...","-","46","...","-","...","-","-","...","367","..."
"Santa Maria do Pará (PA)","20850","17219","2447","...","38","12","...","-","...","6","-","...","1115","..."
"Santana do Araguaia (PA)","31218","23233","4907","...","97","21","...","-","...","-","-","...","2874","..."
"Santarém (PA)","262538","202670","45392","...","1303","255","...","20","...","98","-","...","7889","..."
"Santarém Novo (PA)","5434","4979","381","...","-","-","...","-","...","-","-","...","75","..."
"Santo Antônio do Tauá (PA)","19835","14738","4099","...","9","98","...","-","...","-","-","...","665","..."
"São Caetano de Odivelas (PA)","15595","13348","1573","...","24","21","...","-","...","-","-","...","629","..."
"São Domingos do Araguaia (PA)","20005","16091","2944","...","-","-","...","-","...","-","-","...","890","..."
"São Domingos do Capim (PA)","27405","22897","3474","...","30","45","...","-","...","-","-","...","716","..."
"São Félix do Xingu (PA)","34621","21827","8534","...","78","27","...","-","...","-","-","...","3460","..."
"São Francisco do Pará (PA)","14245","11689","2024","...","29","11","...","-","...","32","-","...","424","..."
"São Geraldo do Araguaia (PA)","27646","19187","6177","...","60","27","...","-","...","-","-","...","1978","..."
"São João da Ponta (PA)","4035","3438","551","...","-","-","...","-","...","-","-","...","46","..."
"São João de Pirabas (PA)","17484","15243","1436","...","-","-","...","-","...","-","-","...","374","..."
"São João do Araguaia (PA)","12247","10169","1631","...","-","-","...","-","...","15","-","...","278","..."
"São Miguel do Guamá (PA)","41366","35700","3847","...","63","10","...","-","...","-","-","...","1604","..."
"São Sebastião da Boa Vista (PA)","17664","12642","4391","...","68","-","...","-","...","-","-","...","470","..."
"Sapucaia (PA)","3796","2961","623","...","21","5","...","-","...","-","-","...","148","..."
"Senador José Porfírio (PA)","15721","12733","1853","...","-","7","...","-","...","-","-","...","804","..."
"Soure (PA)","19958","17619","1813","...","82","77","...","-","...","-","-","...","316","..."
"Tailândia (PA)","38435","24995","7208","...","331","56","...","-","...","-","-","...","4396","..."
"Terra Alta (PA)","8261","5893","1672","...","-","-","...","-","...","-","-","...","672","..."
"Terra Santa (PA)","14592","12577","1719","...","-","-","...","-","...","-","-","...","274","..."
"Tomé-Açu (PA)","47404","29550","10860","...","139","-","...","-","...","163","-","...","6177","..."
"Tracuateua (PA)","22743","20550","1670","...","195","-","...","-","...","-","-","...","302","..."
"Trairão (PA)","13902","6628","2369","...","117","-","...","-","...","-","-","...","4429","..."
"Tucumã (PA)","25309","18323","5546","...","40","39","...","-","...","-","-","...","1261","..."
"Tucuruí (PA)","73798","51202","16713","...","451","128","...","-","...","36","-","...","4709","..."
"Ulianópolis (PA)","19254","13182","2761","...","32","-","...","-","...","-","-","...","3189","..."
"Uruará (PA)","45201","30596","9308","...","65","33","...","-","...","-","-","...","4522","..."
"Vigia (PA)","40176","34791","4215","...","45","22","...","-","...","-","-","...","977","..."
"Viseu (PA)","51090","42859","6826","...","13","-","...","-","...","-","-","...","1031","..."
"Vitória do Xingu (PA)","11142","8590","1974","...","38","20","...","-","...","10","-","...","169","..."
