"Tabela 137 - População residente, por religião"
"Variável - População residente (Pessoas)"
"Município","Ano x Religião"
"Município","2000"
"Município","Total","Católica Apostólica Romana","Evangélicas","Outras religiosidades cristãs","Testemunhas de Jeová","Espírita","Umbanda e Candomblé","Judaica","Judaísmo","Budismo","Islâmica","Islamismo","Sem religião","Não determinada e multiplo pertencimento"
"Balneário Gaivota (SC)","5450","4524","767","...","28","-","...","-","...","-","-","...","127","..."
"Bandeirante (SC)","3177","2459","404","...","-","-","...","-","...","-","-","...","-","..."
"Barra Bonita (SC)","2118","2023","63","...","-","-","...","-","...","-","-","...","32","..."
"Barra Velha (SC)","15530","11667","3294","...","196","99","...","-","...","6","11","...","235","..."
"Bela Vista do Toldo (SC)","5721","5221","454","...","-","3","...","-","...","-","-","...","34","..."
"Belmonte (SC)","2588","2228","287","...","-","-","...","-","...","-","-","...","24","..."
"Benedito Novo (SC)","9071","4167","4831","...","-","-","...","4","...","-","-","...","18","..."
"Biguaçu (SC)","48077","39001","5975","...","625","609","...","-","...","-","-","...","1516","..."
"Blumenau (SC)","261808","193474","57935","...","2976","1894","...","63","...","131","29","...","3200","..."
"Bocaina do Sul (SC)","2980","2879","59","...","-","31","...","-","...","-","-","...","4","..."
"Bombinhas (SC)","8716","5869","1851","...","126","49","...","14","...","5","-","...","700","..."
"Bom Jardim da Serra (SC)","4079","3747","286","...","-","-","...","-","...","-","-","...","45","..."
"Bom Jesus (SC)","2046","1578","337","...","18","-","...","-","...","-","-","...","100","..."
"Bom Jesus do Oeste (SC)","2150","1592","540","...","-","-","...","-","...","-","-","...","1","..."
"Bom Retiro (SC)","7967","7310","597","...","6","4","...","-","...","-","-","...","44","..."
"Botuverá (SC)","3756","3735","17","...","5","-","...","-","...","-","-","...","-","..."
"Braço do Norte (SC)","24802","23832","763","...","55","70","...","-","...","-","-","...","81","..."
"Braço do Trombudo (SC)","3187","1288","1851","...","-","-","...","-","...","-","-","...","41","..."
"Brunópolis (SC)","3331","2997","334","...","-","-","...","-","...","-","-","...","-","..."
"Brusque (SC)","76058","65015","8711","...","505","65","...","27","...","-","-","...","498","..."
"Caçador (SC)","63322","54344","6858","...","326","141","...","-","...","126","-","...","1187","..."
"Caibi (SC)","6354","5901","429","...","7","-","...","-","...","-","-","...","11","..."
"Calmon (SC)","3467","2797","598","...","-","-","...","-","...","-","-","...","72","..."
"Camboriú (SC)","41445","26380","12375","...","223","161","...","-","...","-","-","...","1986","..."
"Capão Alto (SC)","3020","2854","121","...","-","-","...","-","...","-","-","...","7","..."
"Campo Alegre (SC)","11634","10146","1435","...","-","-","...","-","...","-","-","...","53","..."
"Campo Belo do Sul (SC)","8070","7635","381","...","-","-","...","-","...","-","-","...","51","..."
"Campo Erê (SC)","10353","8198","1842","...","-","34","...","-","...","-","-","...","93","..."
"Campos Novos (SC)","28729","26522","2013","...","-","65","...","-","...","-","-","...","116","..."
"Canelinha (SC)","9004","7965","821","...","38","-","...","-","...","-","-","...","117","..."
"Canoinhas (SC)","51631","44045","6261","...","122","314","...","-","...","9","-","...","591","..."
"Capinzal (SC)","19955","17358","2433","...","15","-","...","-","...","-","-","...","91","..."
"Capivari de Baixo (SC)","18561","15508","2416","...","160","77","...","-","...","-","-","...","387","..."
"Catanduvas (SC)","8291","7316","895","...","-","19","...","-","...","-","-","...","36","..."
"Caxambu do Sul (SC)","5263","4535","577","...","6","-","...","-","...","-","-","...","72","..."
"Celso Ramos (SC)","2844","2591","248","...","-","-","...","-","...","-","-","...","6","..."
"Cerro Negro (SC)","4098","3899","183","...","-","-","...","-","...","-","-","...","11","..."
"Chapadão do Lageado (SC)","2561","2473","85","...","-","-","...","-","...","-","-","...","-","..."
"Chapecó (SC)","146967","118886","22349","...","797","965","...","-","...","51","-","...","2706","..."
"Cocal do Sul (SC)","13726","12162","1189","...","194","21","...","-","...","-","-","...","129","..."
"Concórdia (SC)","63058","54413","7623","...","97","310","...","-","...","-","-","...","354","..."
"Cordilheira Alta (SC)","3093","3063","4","...","14","-","...","-","...","-","-","...","4","..."
"Coronel Freitas (SC)","10621","9653","849","...","-","-","...","-","...","-","-","...","97","..."
"Coronel Martins (SC)","2388","2312","76","...","-","-","...","-","...","-","-","...","-","..."
"Corupá (SC)","11847","8689","2875","...","102","29","...","-","...","-","-","...","131","..."
"Correia Pinto (SC)","17026","14565","2203","...","13","39","...","-","...","-","-","...","175","..."
"Criciúma (SC)","170420","133841","27758","...","1934","910","...","35","...","70","87","...","4358","..."
"Cunha Porã (SC)","10229","5191","4934","...","43","-","...","-","...","-","-","...","26","..."
"Cunhataí (SC)","1822","1661","161","...","-","-","...","-","...","-","-","...","-","..."
"Curitibanos (SC)","36061","31245","3615","...","285","262","...","-","...","102","-","...","361","..."
"Descanso (SC)","9129","8296","775","...","-","-","...","-","...","-","-","...","33","..."
"Dionísio Cerqueira (SC)","14250","10590","3323","...","52","42","...","-","...","-","28","...","204","..."
"Dona Emma (SC)","3309","2587","701","...","-","-","...","-","...","-","-","...","20","..."
"Doutor Pedrinho (SC)","3082","2436","588","...","4","-","...","-","...","-","-","...","43","..."
"Entre Rios (SC)","2788","1622","923","...","-","-","...","-","...","-","-","...","88","..."
"Ermo (SC)","2057","1852","194","...","-","-","...","-","...","-","-","...","4","..."
"Erval Velho (SC)","4269","3914","334","...","-","22","...","-","...","-","-","...","-","..."
"Faxinal dos Guedes (SC)","10767","9174","1515","...","23","-","...","-","...","11","-","...","34","..."
"Flor do Sertão (SC)","1612","1452","154","...","-","-","...","-","...","-","-","...","-","..."
"Florianópolis (SC)","342315","258464","33169","...","2320","16238","...","145","...","224","37","...","25354","..."
"Formosa do Sul (SC)","2725","2352","323","...","-","-","...","-","...","-","-","...","6","..."
"Forquilhinha (SC)","18348","16111","1935","...","-","-","...","-","...","10","-","...","245","..."
"Fraiburgo (SC)","32948","26718","5592","...","26","39","...","-","...","-","-","...","441","..."
"Frei Rogério (SC)","2971","2677","257","...","-","-","...","-","...","32","-","...","4","..."
"Galvão (SC)","4235","3906","221","...","-","-","...","-","...","-","-","...","71","..."
"Garopaba (SC)","13164","11698","988","...","90","102","...","6","...","-","-","...","226","..."
"Garuva (SC)","11378","8024","2900","...","73","17","...","-","...","-","-","...","319","..."
"Gaspar (SC)","46414","39474","6077","...","500","69","...","-","...","26","-","...","137","..."
"Governador Celso Ramos (SC)","11598","8871","2131","...","39","30","...","-","...","-","-","...","381","..."
"Grão Pará (SC)","5817","5604","197","...","-","2","...","-","...","-","-","...","14","..."
"Gravatal (SC)","10799","9270","751","...","7","14","...","-","...","-","-","...","65","..."
"Guabiruba (SC)","12976","11440","1467","...","60","-","...","-","...","-","-","...","9","..."
"Guaraciaba (SC)","11038","10080","847","...","-","-","...","-","...","-","-","...","22","..."
"Guaramirim (SC)","23794","18851","4585","...","59","41","...","-","...","-","-","...","210","..."
"Guarujá do Sul (SC)","4696","4369","323","...","-","-","...","-","...","-","-","...","-","..."
"Guatambú (SC)","4702","4050","537","...","19","-","...","-","...","-","-","...","-","..."
"Herval d'Oeste (SC)","20044","18287","1481","...","34","-","...","-","...","-","-","...","176","..."
"Ibiam (SC)","1972","1912","59","...","-","-","...","-","...","-","-","...","-","..."
"Ibicaré (SC)","3587","3315","219","...","18","5","...","-","...","-","-","...","30","..."
"Ibirama (SC)","15802","10138","5465","...","99","10","...","-","...","-","-","...","67","..."
"Içara (SC)","48634","39182","7782","...","578","18","...","-","...","-","-","...","947","..."
"Ilhota (SC)","10574","8260","1787","...","114","6","...","-","...","-","-","...","277","..."
"Imaruí (SC)","13404","11470","1373","...","80","13","...","-","...","-","-","...","354","..."
"Imbituba (SC)","35700","29171","4475","...","232","193","...","9","...","9","32","...","1385","..."
"Imbuia (SC)","5246","4289","955","...","-","-","...","-","...","-","-","...","-","..."
"Indaial (SC)","40194","29067","10317","...","325","141","...","-","...","-","-","...","164","..."
"Iomerê (SC)","2553","2444","83","...","-","-","...","-","...","-","-","...","-","..."
"Ipira (SC)","4979","3027","1296","...","85","-","...","-","...","-","-","...","6","..."
"Iporã do Oeste (SC)","7877","6819","1050","...","-","-","...","-","...","-","-","...","-","..."
"Ipuaçu (SC)","6122","4692","1384","...","-","-","...","-","...","-","-","...","47","..."
"Ipumirim (SC)","6907","5868","976","...","-","-","...","-","...","-","-","...","-","..."
"Iraceminha (SC)","4592","3968","583","...","-","-","...","-","...","-","-","...","18","..."
"Irani (SC)","8602","6961","1390","...","-","-","...","-","...","-","-","...","146","..."
"Irati (SC)","2202","1991","173","...","-","-","...","-","...","-","-","...","25","..."
"Irineópolis (SC)","9734","8454","1182","...","4","41","...","-","...","-","-","...","44","..."
"Itá (SC)","6764","5737","896","...","21","33","...","-","...","-","-","...","31","..."
"Itaiópolis (SC)","19086","17569","893","...","-","339","...","-","...","-","-","...","74","..."
"Itajaí (SC)","147494","107821","24888","...","2067","1293","...","-","...","8","31","...","6331","..."
"Itapema (SC)","25869","18432","5657","...","227","316","...","-","...","14","-","...","920","..."
"Itapiranga (SC)","13998","13448","516","...","-","-","...","-","...","-","-","...","29","..."
"Itapoá (SC)","8839","6367","1754","...","48","69","...","-","...","-","-","...","570","..."
"Ituporanga (SC)","19492","16013","3422","...","44","-","...","-","...","-","-","...","-","..."
"Jaborá (SC)","4194","3947","205","...","-","-","...","-","...","-","-","...","-","..."
"Jacinto Machado (SC)","10923","10126","712","...","33","-","...","-","...","-","-","...","47","..."
"Jaguaruna (SC)","14613","12673","1686","...","5","85","...","-","...","-","-","...","159","..."
"Jaraguá do Sul (SC)","108489","80288","25759","...","743","390","...","-","...","49","-","...","1046","..."
"Jardinópolis (SC)","1994","1896","67","...","-","-","...","-","...","-","-","...","26","..."
"Joaçaba (SC)","24066","20606","2708","...","190","175","...","-","...","-","-","...","178","..."
"Joinville (SC)","429604","314729","96632","...","3177","3002","...","68","...","276","-","...","8656","..."
"José Boiteux (SC)","4594","3345","1033","...","-","-","...","-","...","-","-","...","216","..."
"Jupiá (SC)","2220","2104","116","...","-","-","...","-","...","-","-","...","-","..."
"Lacerdópolis (SC)","2173","2102","45","...","-","-","...","-","...","-","-","...","25","..."
"Lages (SC)","157682","133773","17711","...","451","1832","...","11","...","43","103","...","2287","..."
"Laguna (SC)","47568","39190","5023","...","288","1223","...","-","...","6","-","...","1427","..."
"Lajeado Grande (SC)","1572","1553","18","...","-","-","...","-","...","-","-","...","-","..."
"Laurentino (SC)","5062","4923","123","...","6","-","...","-","...","-","-","...","5","..."
"Lauro Müller (SC)","13604","12780","660","...","28","19","...","-","...","-","-","...","90","..."
"Lebon Régis (SC)","11682","9365","2167","...","13","-","...","-","...","-","-","...","110","..."
"Leoberto Leal (SC)","3739","3035","704","...","-","-","...","-","...","-","-","...","-","..."
"Lindóia do Sul (SC)","4877","4818","48","...","-","-","...","-","...","-","-","...","-","..."
"Lontras (SC)","8381","6778","1573","...","24","-","...","-","...","-","-","...","6","..."
"Luiz Alves (SC)","7974","7471","471","...","-","-","...","-","...","-","-","...","5","..."
"Luzerna (SC)","5572","4256","1260","...","-","7","...","-","...","-","-","...","34","..."
"Macieira (SC)","1900","1823","77","...","-","-","...","-","...","-","-","...","-","..."
"Mafra (SC)","49940","43138","5398","...","222","542","...","-","...","38","-","...","414","..."
"Major Gercino (SC)","3143","2741","402","...","-","-","...","-","...","-","-","...","-","..."
"Major Vieira (SC)","6906","6588","298","...","-","16","...","-","...","-","-","...","3","..."
"Maracajá (SC)","5541","5009","445","...","78","-","...","-","...","-","-","...","9","..."
"Maravilha (SC)","18521","14469","3879","...","70","23","...","-","...","-","-","...","62","..."
"Marema (SC)","2651","2517","130","...","-","-","...","-","...","-","-","...","-","..."
"Massaranduba (SC)","12562","9430","3022","...","27","-","...","-","...","-","-","...","77","..."
"Matos Costa (SC)","3204","2337","706","...","41","-","...","-","...","-","-","...","121","..."
"Meleiro (SC)","7080","6373","667","...","-","-","...","-","...","-","-","...","9","..."
"Mirim Doce (SC)","3520","3087","433","...","-","-","...","-","...","-","-","...","-","..."
"Modelo (SC)","3930","3147","732","...","-","-","...","-","...","-","-","...","26","..."
"Mondaí (SC)","8728","4569","4081","...","8","-","...","-","...","-","-","...","12","..."
"Monte Carlo (SC)","8579","7531","923","...","26","-","...","-","...","-","-","...","48","..."
"Monte Castelo (SC)","8350","7220","1042","...","-","-","...","-","...","-","-","...","82","..."
"Morro da Fumaça (SC)","14551","12607","1626","...","71","27","...","-","...","-","-","...","215","..."
"Morro Grande (SC)","2917","2793","113","...","-","-","...","-","...","-","-","...","10","..."
"Navegantes (SC)","39317","26943","7471","...","283","304","...","-","...","103","-","...","1972","..."
"Nova Erechim (SC)","3543","3132","281","...","-","-","...","-","...","-","-","...","-","..."
"Nova Itaberaba (SC)","4256","3773","417","...","10","-","...","-","...","-","-","...","56","..."
"Nova Trento (SC)","9852","9394","433","...","14","4","...","-","...","-","-","...","-","..."
"Nova Veneza (SC)","11511","10884","545","...","14","18","...","-","...","-","6","...","33","..."
"Novo Horizonte (SC)","3101","3020","61","...","-","-","...","-","...","-","-","...","-","..."
"Orleans (SC)","20031","18738","1053","...","66","53","...","-","...","-","-","...","121","..."
"Otacílio Costa (SC)","13993","12197","1442","...","116","97","...","-","...","-","-","...","103","..."
"Ouro (SC)","7419","7122","216","...","23","45","...","-","...","-","-","...","12","..."
"Ouro Verde (SC)","2352","2118","224","...","-","-","...","-","...","-","-","...","10","..."
"Paial (SC)","2052","1288","750","...","-","-","...","-","...","-","-","...","-","..."
"Painel (SC)","2384","2190","194","...","-","-","...","-","...","-","-","...","-","..."
"Palhoça (SC)","102742","85042","12321","...","653","1096","...","-","...","29","-","...","2875","..."
"Palma Sola (SC)","8206","7283","886","...","-","-","...","-","...","-","-","...","12","..."
"Palmeira (SC)","2226","1997","222","...","-","-","...","-","...","-","-","...","3","..."
"Palmitos (SC)","16034","11213","4634","...","17","14","...","-","...","-","-","...","111","..."
"Papanduva (SC)","16822","15160","1457","...","34","14","...","-","...","-","-","...","50","..."
"Paraíso (SC)","4796","3779","924","...","-","-","...","-","...","-","-","...","6","..."
"Passo de Torres (SC)","4400","3778","305","...","150","46","...","-","...","-","-","...","112","..."
"Passos Maia (SC)","4763","4413","226","...","23","-","...","-","...","-","-","...","8","..."
"Paulo Lopes (SC)","5924","4674","983","...","90","-","...","-","...","-","-","...","176","..."
"Pedras Grandes (SC)","4921","4662","245","...","-","8","...","-","...","-","-","...","6","..."
"Penha (SC)","17678","13255","3274","...","173","103","...","-","...","-","-","...","528","..."
"Peritiba (SC)","3230","2865","306","...","-","-","...","-","...","-","-","...","4","..."
"Petrolândia (SC)","6406","4464","1935","...","-","-","...","-","...","-","-","...","6","..."
"Balneário Piçarras (SC)","10911","8274","2083","...","68","56","...","-","...","12","-","...","306","..."
"Pinhalzinho (SC)","12356","11273","1009","...","-","-","...","-","...","-","-","...","58","..."
"Pinheiro Preto (SC)","2729","2592","128","...","-","-","...","-","...","-","-","...","9","..."
"Piratuba (SC)","5812","4615","1036","...","39","25","...","-","...","-","-","...","92","..."
"Planalto Alegre (SC)","2452","2226","219","...","-","-","...","-","...","-","-","...","5","..."
"Pomerode (SC)","22127","6896","14690","...","153","29","...","-","...","10","-","...","217","..."
"Ponte Alta (SC)","5289","4659","548","...","-","21","...","-","...","-","-","...","43","..."
"Ponte Alta do Norte (SC)","3221","2946","235","...","10","-","...","-","...","-","-","...","17","..."
"Ponte Serrada (SC)","10561","9200","1211","...","14","-","...","-","...","23","-","...","102","..."
"Porto Belo (SC)","10704","7864","1893","...","146","77","...","-","...","4","-","...","651","..."
"Porto União (SC)","31858","26336","4312","...","198","197","...","-","...","-","-","...","313","..."
"Pouso Redondo (SC)","12404","10615","1640","...","46","21","...","-","...","-","-","...","55","..."
"Praia Grande (SC)","7286","6547","510","...","22","8","...","-","...","-","-","...","97","..."
"Presidente Castello Branco (SC)","2160","1791","311","...","-","-","...","-","...","-","-","...","5","..."
"Presidente Getúlio (SC)","12333","9519","2741","...","37","-","...","-","...","4","-","...","17","..."
"Presidente Nereu (SC)","2305","2198","66","...","-","-","...","-","...","-","-","...","42","..."
"Princesa (SC)","2613","2301","303","...","-","-","...","-","...","-","-","...","9","..."
"Quilombo (SC)","10736","9578","993","...","-","-","...","-","...","-","-","...","93","..."
"Rancho Queimado (SC)","2637","1425","1117","...","-","6","...","-","...","-","-","...","85","..."
"Rio das Antas (SC)","6129","4659","1275","...","-","-","...","-","...","-","-","...","140","..."
"Rio do Campo (SC)","6522","6137","375","...","-","-","...","-","...","-","-","...","10","..."
"Rio do Oeste (SC)","6730","6427","262","...","19","-","...","-","...","-","-","...","18","..."
"Rio dos Cedros (SC)","8939","7199","1664","...","54","-","...","-","...","-","-","...","11","..."
"Rio do Sul (SC)","51650","41932","8547","...","375","87","...","-","...","-","-","...","478","..."
"Rio Fortuna (SC)","4320","4161","159","...","-","-","...","-","...","-","-","...","-","..."
"Rio Negrinho (SC)","37707","32675","4340","...","181","39","...","-","...","13","-","...","224","..."
"Rio Rufino (SC)","2414","2340","74","...","-","-","...","-","...","-","-","...","-","..."
"Riqueza (SC)","5166","4031","1113","...","-","-","...","-","...","-","-","...","5","..."
"Rodeio (SC)","10380","9447","914","...","6","-","...","-","...","-","-","...","-","..."
"Romelândia (SC)","6491","5345","1125","...","-","-","...","-","...","-","-","...","15","..."
"Salete (SC)","7163","6662","457","...","17","-","...","-","...","-","-","...","14","..."
"Saltinho (SC)","4298","3570","628","...","-","12","...","-","...","-","-","...","18","..."
"Salto Veloso (SC)","3910","3679","185","...","30","-","...","-","...","-","-","...","17","..."
"Sangão (SC)","8128","7089","804","...","4","6","...","-","...","-","-","...","225","..."
"Santa Cecília (SC)","14802","13295","1240","...","60","21","...","-","...","-","4","...","151","..."
"Santa Helena (SC)","2588","2500","88","...","-","-","...","-","...","-","-","...","-","..."
"Santa Rosa de Lima (SC)","2007","1694","313","...","-","-","...","-","...","-","-","...","-","..."
"Santa Rosa do Sul (SC)","7810","6456","1223","...","-","-","...","-","...","-","-","...","131","..."
"Santa Terezinha (SC)","8840","8488","247","...","-","-","...","-","...","-","-","...","23","..."
"Santa Terezinha do Progresso (SC)","3416","2660","751","...","-","-","...","-","...","-","-","...","-","..."
"Santiago do Sul (SC)","1696","1667","29","...","-","-","...","-","...","-","-","...","-","..."
"Santo Amaro da Imperatriz (SC)","15708","14951","513","...","62","6","...","-","...","27","-","...","136","..."
"São Bernardino (SC)","3140","2920","209","...","-","-","...","-","...","-","-","...","-","..."
"São Bento do Sul (SC)","65437","55951","8558","...","98","280","...","-","...","82","-","...","339","..."
"São Bonifácio (SC)","3218","2383","831","...","-","-","...","-","...","-","-","...","4","..."
"São Carlos (SC)","9364","8551","772","...","-","14","...","-","...","-","-","...","26","..."
"São Cristóvão do Sul (SC)","4504","3846","522","...","30","-","...","-","...","-","-","...","101","..."
"São Domingos (SC)","9540","8923","556","...","61","-","...","-","...","-","-","...","-","..."
"São Francisco do Sul (SC)","32301","23475","6697","...","140","305","...","-","...","50","-","...","1299","..."
"São João do Oeste (SC)","5789","5676","113","...","-","-","...","-","...","-","-","...","-","..."
"São João Batista (SC)","14861","13668","944","...","40","-","...","-","...","-","-","...","154","..."
"São João do Itaperiú (SC)","3161","2964","151","...","-","14","...","-","...","-","-","...","27","..."
"São João do Sul (SC)","6784","6303","427","...","23","3","...","-","...","-","-","...","25","..."
"São Joaquim (SC)","22836","21665","831","...","100","101","...","-","...","9","-","...","72","..."
"São José (SC)","173559","135654","20749","...","1545","4557","...","13","...","46","-","...","7291","..."
"São José do Cedro (SC)","13678","12826","745","...","-","52","...","-","...","-","-","...","46","..."
"São José do Cerrito (SC)","10393","10080","277","...","6","4","...","-","...","12","-","...","9","..."
"São Lourenço do Oeste (SC)","19647","18001","1335","...","111","6","...","-","...","-","-","...","123","..."
"São Ludgero (SC)","8587","8010","496","...","25","-","...","-","...","-","-","...","56","..."
"São Martinho (SC)","3274","2698","576","...","-","-","...","-","...","-","-","...","-","..."
"São Miguel da Boa Vista (SC)","2018","1594","424","...","-","-","...","-","...","-","-","...","-","..."
"São Miguel do Oeste (SC)","32324","27757","4039","...","73","205","...","-","...","-","-","...","29","..."
"São Pedro de Alcântara (SC)","3584","3249","313","...","-","-","...","-","...","-","-","...","22","..."
"Saudades (SC)","8324","7714","567","...","-","-","...","-","...","-","-","...","12","..."
"Schroeder (SC)","10811","5900","4497","...","13","-","...","-","...","-","-","...","73","..."
"Seara (SC)","16484","13645","2607","...","35","-","...","-","...","-","-","...","33","..."
"Serra Alta (SC)","3330","3246","69","...","-","-","...","-","...","-","-","...","15","..."
"Siderópolis (SC)","12082","10943","851","...","65","13","...","-","...","-","-","...","174","..."
"Sombrio (SC)","22962","19398","2767","...","287","10","...","-","...","-","-","...","437","..."
"Sul Brasil (SC)","3116","2903","195","...","-","-","...","-","...","-","-","...","8","..."
"Taió (SC)","16257","12165","3873","...","143","-","...","-","...","-","-","...","48","..."
"Tangará (SC)","8754","8287","390","...","47","-","...","-","...","-","-","...","18","..."
"Tigrinhos (SC)","1878","1379","466","...","-","-","...","-","...","-","-","...","34","..."
"Tijucas (SC)","23499","19550","2743","...","116","124","...","-","...","-","-","...","617","..."
"Timbé do Sul (SC)","5323","4809","431","...","35","-","...","-","...","-","-","...","47","..."
"Timbó (SC)","29358","19003","10018","...","143","80","...","-","...","-","-","...","65","..."
"Timbó Grande (SC)","6501","4892","1400","...","34","4","...","-","...","-","-","...","171","..."
"Três Barras (SC)","17124","13422","3074","...","-","65","...","-","...","-","-","...","518","..."
"Treviso (SC)","3144","2957","183","...","-","-","...","-","...","-","-","...","4","..."
"Treze de Maio (SC)","6716","6084","524","...","24","-","...","-","...","-","-","...","39","..."
"Treze Tílias (SC)","4840","4553","280","...","-","-","...","-","...","-","-","...","7","..."
"Trombudo Central (SC)","5795","3906","1838","...","25","-","...","-","...","6","-","...","15","..."
"Tubarão (SC)","88470","75303","9817","...","801","1027","...","-","...","128","-","...","1165","..."
"Tunápolis (SC)","4777","4601","174","...","-","-","...","-","...","-","-","...","3","..."
"Turvo (SC)","10887","10238","525","...","36","-","...","-","...","-","-","...","70","..."
"União do Oeste (SC)","3391","3109","204","...","-","-","...","-","...","-","-","...","12","..."
"Urubici (SC)","10252","9447","733","...","-","4","...","-","...","-","-","...","29","..."
"Urupema (SC)","2527","2189","97","...","-","-","...","-","...","-","-","...","-","..."
"Urussanga (SC)","18727","17684","818","...","37","48","...","-","...","-","-","...","118","..."
"Vargeão (SC)","3526","3070","437","...","3","-","...","-","...","-","-","...","14","..."
"Vargem (SC)","3225","3125","66","...","-","-","...","-","...","-","-","...","7","..."
"Vargem Bonita (SC)","5158","4536","613","...","-","-","...","-","...","-","-","...","9","..."
"Vidal Ramos (SC)","6279","6011","264","...","-","-","...","-","...","-","-","...","-","..."
"Videira (SC)","41589","36724","3925","...","171","151","...","-","...","-","-","...","486","..."
"Vitor Meireles (SC)","5519","4713","771","...","-","-","...","-","...","-","-","...","35","..."
"Witmarsum (SC)","3251","2545","694","...","6","-","...","-","...","-","-","...","6","..."
"Xanxerê (SC)","37429","30066","5992","...","129","94","...","-","...","-","-","...","661","..."
"Xavantina (SC)","4404","4286","111","...","-","-","...","-","...","-","-","...","7","..."
"Xaxim (SC)","22857","20230","1994","...","218","6","...","54","...","10","64","...","251","..."
"Zortéa (SC)","2633","2471","138","...","25","-","...","-","...","-","-","...","-","..."
"Aceguá (RS)","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"Água Santa (RS)","4127","3906","221","...","-","-","...","-","...","-","-","...","-","..."
"Agudo (RS)","17455","9696","7571","...","-","112","...","-","...","11","-","...","23","..."
"Ajuricaba (RS)","7709","4272","3098","...","-","187","...","-","...","-","-","...","152","..."
"Alecrim (RS)","8487","7199","1064","...","-","44","...","-","...","-","-","...","166","..."
"Alegrete (RS)","84338","61609","13687","...","340","1423","...","-","...","34","79","...","5477","..."
"Alegria (RS)","5367","4259","1108","...","-","-","...","-","...","-","-","...","-","..."
"Almirante Tamandaré do Sul (RS)","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"Alpestre (RS)","10266","9355","818","...","-","-","...","-","...","-","6","...","76","..."
"Alto Alegre (RS)","2137","2131","6","...","-","-","...","-","...","-","-","...","-","..."
"Alto Feliz (RS)","2834","2280","549","...","-","-","...","-","...","-","-","...","5","..."
"Alvorada (RS)","183968","131244","24266","...","1469","3348","...","-","...","66","10","...","16438","..."
"Amaral Ferrador (RS)","5740","5326","171","...","5","11","...","-","...","-","-","...","147","..."
"Ametista do Sul (RS)","7414","6512","794","...","-","-","...","-","...","4","-","...","60","..."
"André da Rocha (RS)","1113","1065","15","...","-","33","...","-","...","-","-","...","-","..."
"Anta Gorda (RS)","6327","6189","78","...","48","-","...","-","...","-","-","...","6","..."
"Antônio Prado (RS)","12918","12317","428","...","-","34","...","-","...","-","-","...","37","..."
"Arambaré (RS)","3917","3507","291","...","21","30","...","-","...","-","-","...","36","..."
"Araricá (RS)","4032","2759","1226","...","-","-","...","-","...","-","-","...","7","..."
"Aratiba (RS)","7116","6712","404","...","-","-","...","-","...","-","-","...","-","..."
"Arroio do Meio (RS)","16951","13157","3730","...","17","5","...","-","...","-","-","...","15","..."
"Arroio do Sal (RS)","5273","4230","519","...","26","66","...","-","...","-","-","...","365","..."
"Arroio do Padre (RS)","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"Arroio dos Ratos (RS)","13335","10842","1390","...","94","251","...","-","...","17","-","...","678","..."
"Arroio do Tigre (RS)","12216","9812","2328","...","-","-","...","-","...","-","-","...","4","..."
"Arroio Grande (RS)","19152","13892","1574","...","94","396","...","-","...","-","32","...","2705","..."
"Arvorezinha (RS)","10262","9836","375","...","23","-","...","-","...","-","-","...","11","..."
"Augusto Pestana (RS)","8173","5901","2250","...","7","5","...","-","...","-","-","...","10","..."
"Áurea (RS)","3889","3758","102","...","19","-","...","-","...","-","-","...","5","..."
"Bagé (RS)","118767","77495","13301","...","326","6546","...","-","...","9","-","...","14484","..."
"Balneário Pinhal (RS)","7452","5961","894","...","72","134","...","-","...","-","-","...","197","..."
"Barão (RS)","5397","4352","1038","...","-","-","...","-","...","-","-","...","7","..."
"Barão de Cotegipe (RS)","6927","6461","317","...","114","-","...","-","...","-","-","...","35","..."
"Barão do Triunfo (RS)","6662","5932","625","...","-","11","...","-","...","-","-","...","94","..."
"Barracão (RS)","5592","4794","714","...","-","7","...","-","...","-","-","...","77","..."
"Barra do Guarita (RS)","2987","2318","591","...","-","-","...","-","...","-","-","...","42","..."
"Barra do Quaraí (RS)","3884","2813","636","...","-","62","...","-","...","4","83","...","227","..."
"Barra do Ribeiro (RS)","11845","9200","1642","...","33","166","...","-","...","-","-","...","561","..."
"Barra do Rio Azul (RS)","2414","2389","25","...","-","-","...","-","...","-","-","...","-","..."
"Barra Funda (RS)","2231","2021","210","...","-","-","...","-","...","-","-","...","-","..."
"Barros Cassal (RS)","11347","10500","804","...","-","-","...","-","...","-","-","...","39","..."
"Benjamin Constant do Sul (RS)","2727","2409","297","...","-","-","...","-","...","-","-","...","10","..."
"Bento Gonçalves (RS)","91486","83510","5332","...","555","301","...","-","...","-","-","...","1176","..."
"Boa Vista das Missões (RS)","2188","1834","278","...","-","-","...","-","...","-","-","...","71","..."
"Boa Vista do Buricá (RS)","6587","5777","802","...","-","-","...","-","...","-","-","...","8","..."
"Boa Vista do Cadeado (RS)","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"Boa Vista do Incra (RS)","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"Boa Vista do Sul (RS)","2840","2829","-","...","-","-","...","-","...","-","-","...","-","..."
